nh	female	married	sepdiv	single	ownhh	white	black	hispan	mobility	age	yrsnh	ses	violence	control
2	1	0	1	0	0	0	1	0	1	38	1	0.2041	240.79	459.93
3	0	0	0	1	1	1	0	0	0	51	8.0833	1.8773	155.18	279.92
3	1	0	0	1	0	1	0	0	5	30	1.47	-1.2191	280.79	359.92
3	0	0	0	1	1	0	0	0	2	39	0.5833	2.1859	216.03	259.92
3	0	0	0	1	0	1	0	0	1	39	4.25	1.2477	260.79	459.92
3	0	0	1	0	0	0	1	0	2	43	0.5	0.2559	220.79	379.92
3	1	0	1	0	0	0	1	0	2	35	0.25	-1.2507	NA	299.92
3	1	0	0	1	0	0	1	0	3	41	0.4167	-1.3112	196.07	379.92
3	0	0	0	1	0	0	1	0	1	45	0.5	-1.0501	120.79	279.92
3	1	1	0	0	1	1	0	0	1	34	1.5	2.1667	325.58	359.92
3	1	0	0	1	0	1	0	0	3	24	1.4167	2.9762	220.79	259.92
3	0	1	0	0	0	0	0	0	0	39	6	1.4725	260.79	279.92
3	1	0	0	0	0	0	1	0	1	31	4	0.7599	180.79	379.92
3	0	0	1	0	1	1	0	0	0	71	10	1.4232	100.79	359.92
3	1	0	1	0	0	0	0	0	2	76	0.9167	-0.2808	100.79	459.92
3	0	0	0	1	0	1	0	0	5	30	0.25	2.233	100.79	239.92
4	0	0	0	1	0	1	0	0	0	76	16	0.6569	113.59	339.93
4	1	0	0	0	0	0	1	0	3	23	0.5833	0.4705	180.79	339.93
4	1	1	0	0	1	1	0	0	0	57	7.9167	0.7714	200.79	419.93
4	0	0	0	1	0	0	1	0	3	35	0.75	-0.2653	100.79	459.93
4	1	0	0	0	0	0	1	0	2	33	0.3333	-1.0137	160.79	419.93
4	1	0	0	0	0	1	0	0	2	22	0.1667	0.7807	140.79	279.93
4	1	0	0	0	1	1	0	0	2	54	2.1667	2.9981	120.79	419.93
4	1	0	0	1	0	0	0	1	2	21	0.3333	0.6203	100.79	399.93
4	1	0	0	0	0	1	0	0	10	34	0.1667	0.0126	NA	319.93
4	0	0	0	1	0	0	0	1	1	21	0.5	-0.0591	280.79	379.93
4	1	0	0	1	0	1	0	0	0	47	7.5	1.2258	304.14	239.93
4	0	0	1	0	0	0	1	0	1	23	0.0833	-1.2778	100.79	419.93
4	0	0	0	1	0	0	0	1	0	56	5.25	-0.459	248.16	339.93
4	0	0	0	1	0	1	0	0	8	25	0.5833	-0.8845	340.79	159.93
4	0	0	0	1	0	1	0	0	4	22	0.4167	-0.2041	240.79	339.93
4	0	0	0	1	0	0	1	0	2	29	0.8333	1.1635	192.25	259.93
4	0	0	0	1	0	0	1	0	3	20	2.1667	-1.0229	160.79	339.93
4	0	1	0	0	0	0	0	1	3	30	0.9167	-1.2789	120.79	299.93
4	1	0	0	1	0	1	0	0	0	58	50.5833	1.7389	100.79	339.93
4	1	0	0	1	0	0	1	0	1	35	4.5	0.4601	304.14	339.93
4	0	0	0	1	0	1	0	0	0	43	3.3333	-0.1696	NA	359.93
4	0	0	1	0	1	0	0	1	1	44	0.8333	1.9199	146.78	399.93
4	1	1	0	0	1	1	0	0	0	36	8.4167	2.1552	112.22	479.93
4	1	0	1	0	0	0	0	1	0	48	6	0.1614	140.79	419.93
4	0	0	0	1	0	0	0	1	2	32	0.8333	0.2468	160.79	339.93
4	1	0	0	1	1	1	0	0	1	35	3.1667	1.589	260.79	359.93
4	1	0	0	1	0	0	0	1	5	25	1	0.5223	391.03	339.93
4	0	0	0	1	0	1	0	0	6	23	0.5833	1.0469	340.79	299.93
4	1	0	1	0	0	0	1	0	0	53	15.5	0.4485	300.79	239.93
4	0	0	0	1	0	0	0	0	4	22	2	-1.0979	120.79	419.93
4	1	0	0	0	1	1	0	0	2	46	3	2.2716	354.14	299.93
4	0	1	0	0	0	0	0	1	1	33	2	-0.5109	366.03	99.93
4	0	0	0	1	0	0	1	0	5	33	0.8333	-0.052	316.03	279.93
4	1	0	0	1	0	0	1	0	2	34	1	-0.361	183.19	222.98
4	0	0	0	1	0	1	0	0	4	28	1.9167	1.2881	120.79	299.93
4	0	0	0	1	0	0	0	0	2	25	0.6667	-0.6931	140.79	359.93
4	1	0	0	1	0	0	0	1	1	70	3.0975	0.5119	320.79	239.93
4	0	0	0	1	0	0	1	0	0	42	12	0.9721	280.79	179.93
4	1	0	0	1	0	0	0	0	5	22	1	0.618	400.79	199.93
